Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-o Electronic Energy (Hartree),APset1roGSD_sen-o Total Energy (Hartree)
1.1428,3.618341332,-5.609965407,-1.991624074
1.145,3.614567207,-5.606718771,-1.992151563
1.15,3.606036738,-5.599349917,-1.993313179
1.2,3.524159592,-5.52640734,-2.002247748
1.3,3.376905155,-5.38466867,-2.007763515
1.4,3.247803349,-5.248574917,-2.000771567
1.6,3.030868809,-4.993743274,-1.962874465
1.8,2.854405257,-4.779727326,-1.925322068
1.9,2.777631013,-4.701812468,-1.924181455
1.95,2.741641165,-4.667849852,-1.926208686
1.98,2.720752119,-4.64877842,-1.928026301
1.99,2.713901878,-4.64262214,-1.928720262
2,2.707106781,-4.6365624,-1.929455619
2.01,2.700366105,-4.630597223,-1.930231118
2.02,2.693679139,-4.624724771,-1.931045632
2.05,2.673933608,-4.607647903,-1.933714295
2.1,2.642036125,-4.580903607,-1.938867482
2.2,2.581763703,-4.533303545,-1.951539842
2.5,2.424695048,-4.426922093,-2.002227045
3,2.221366863,-4.297078887,-2.075712024
4,1.947213595,-4.073341655,-2.126128059
5,1.771390676,-3.906751742,-2.135361066
7,1.560435414,-3.696524002,-2.136088588
10,1.396116135,-3.531228211,-2.135112075
