Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_free Electronic Energy (Hartree),AP1roGSDSpin_free Total Energy (Hartree)
1.1428,3.618341332,-5.609965333,-1.991624
1.145,3.614567207,-5.606718766,-1.992151559
1.15,3.606036738,-5.599349896,-1.993313158
1.2,3.524159592,-5.526407294,-2.002247702
1.3,3.376905155,-5.384668559,-2.007763404
1.4,3.247803349,-5.248574894,-2.000771545
1.6,3.030868809,-4.993743267,-1.962874458
1.8,2.854405257,-4.779727042,-1.925321785
1.9,2.777631013,-4.701812051,-1.924181038
1.95,2.741641165,-4.667849612,-1.926208446
1.98,2.720752119,-4.648777848,-1.928025729
1.99,2.713901878,-4.642621811,-1.928719933
2,2.707106781,-4.636562058,-1.929455277
2.01,2.700366105,-4.630596848,-1.930230743
2.02,2.693679139,-4.624724646,-1.931045506
2.05,2.673933608,-4.607647567,-1.933713959
2.1,2.642036125,-4.580903479,-1.938867354
2.2,2.581763703,-4.533303351,-1.951539648
2.5,2.424695048,-4.426921919,-2.002226872
3,2.221366863,-4.297078808,-2.075711945
4,1.947213595,-4.073341641,-2.126128046
5,1.771390676,-3.90675156,-2.135360884
7,1.560435414,-3.696523935,-2.136088521
10,1.396116135,-3.531227961,-2.135111826
