Distance (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
0,3.346456693,-19.10471454,-15.75825784
1,3.706740094,-19.43457071,-15.72783062
2,3.416897489,-19.06461625,-15.64771876
2.5,3.156487659,-18.73614517,-15.57965751
2.75,3.031382611,-18.60295028,-15.57156767
3,2.91824271,-18.47553406,-15.55729135
3.5,2.746694324,-18.35974323,-15.61304891
4,2.684346649,-18.35358172,-15.66923508
6,2.038636566,-17.73820504,-15.69956847
20,1.114040939,-16.81573222,-15.70169129
