Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-o Electronic Energy (Hartree),APset1roGSD_sen-o Total Energy (Hartree)
0.6,3.65328874,-5.205170631,-1.551881891
0.8,3.172619048,-5.023791306,-1.851172258
1,2.866666667,-4.859028355,-1.992361688
1.2,2.650641026,-4.712722432,-2.062081406
1.5,2.41991342,-4.527105438,-2.107192018
2,2.166666667,-4.295166153,-2.128499486
2.5,1.998290598,-4.132482823,-2.134192225
3,1.876190476,-4.0124813,-2.136290824
4,1.708333333,-3.845233449,-2.136900115
5,1.596825397,-3.733211555,-2.136386158
6,1.516666667,-3.652549145,-2.135882478
8,1.408333333,-3.543532097,-2.135198763
