Alpha (Bohr),Nuclear Repulsion Energy (Hartree),FCI Electronic Energy (Hartree),FCI Total Energy (Hartree)
0.6,3.65328874,-5.211377158,-1.558088417
0.8,3.172619048,-5.03266294,-1.860043893
1,2.866666667,-4.871455719,-2.004789052
1.2,2.650641026,-4.729568351,-2.078927325
1.5,2.41991342,-4.551668419,-2.131754999
2,2.166666667,-4.331960783,-2.165294117
2.5,1.998290598,-4.177561127,-2.179270528
3,1.876190476,-4.062408072,-2.186217596
4,1.708333333,-3.89939359,-2.191060257
5,1.596825397,-3.788790364,-2.191964967
6,1.516666667,-3.70877778,-2.192111113
8,1.408333333,-3.600471197,-2.192137864
