Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_free Electronic Energy (Hartree),APG1roSD_free Total Energy (Hartree)
0.6,3.65328874,-5.208993376,-1.555704636
0.8,3.172619048,-5.029582953,-1.856963905
1,2.866666667,-4.867571324,-2.000904657
1.2,2.650641026,-4.724824485,-2.074183459
1.5,2.41991342,-4.545593538,-2.125680118
2,2.166666667,-4.323298962,-2.156632296
2.5,1.998290598,-4.165944816,-2.167654217
3,1.876190476,-4.048325191,-2.172134715
4,1.708333333,-3.87868937,-2.170356037
5,1.596825397,-3.771000217,-2.17417482
6,1.516666667,-3.690525776,-2.173859109
8,1.408333333,-3.581795723,-2.173462389
