Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-o Electronic Energy (Hartree),AP1roGSDSpin_sen-o Total Energy (Hartree)
0.5,25.2642463,-28.16363437,-2.899388076
0.55,22.96749668,-26.65517284,-3.687676163
0.6,21.05353858,-25.29391936,-4.240380784
0.65,19.43403566,-24.06236755,-4.628331893
0.7,18.04589026,-22.9445316,-4.89864134
0.75,16.84283089,-21.92624484,-5.083413946
0.8,15.79015397,-20.99516026,-5.205006295
0.85,14.86132138,-20.14062507,-5.279303684
0.9,14.03569242,-19.35350279,-5.317810374
0.95,13.29697176,-18.62598305,-5.32901129
1,12.63212318,-17.95139222,-5.319269035
1.05,12.0305935,-17.3240191,-5.293425599
1.1,11.48374834,-16.7389651,-5.255216761
1.15,10.98445493,-16.19246484,-5.208009907
1.2,10.52676932,-15.68670755,-5.159938234
1.25,10.10569855,-15.2192248,-5.113526253
1.3,9.717017819,-14.78622709,-5.069209272
1.35,9.357128277,-14.38446704,-5.027338759
1.4,9.02294512,-14.01127543,-4.988330309
1.45,8.711809086,-13.66424025,-4.952431168
1.5,8.421415444,-13.34125987,-4.919844431
1.55,8.149756888,-13.04036499,-4.890608098
1.6,7.89507698,-12.75974776,-4.864670782
1.65,7.655832227,-12.49773989,-4.841907664
1.7,7.430660685,-12.25276001,-4.822099326
1.75,7.218356101,-12.02333423,-4.804978132
1.8,7.017846205,-11.80812892,-4.790282718
1.85,6.828174688,-11.6058964,-4.777721713
1.9,6.648485881,-11.41552683,-4.767040945
1.95,6.478011885,-11.23599384,-4.757981959
2,6.316061589,-11.06638405,-4.75032246
