Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-v Electronic Energy (Hartree),APG1roSD_sen-v Total Energy (Hartree)
0,3.383883476,-5.192549236,-1.80866576
0.005,3.357986347,-5.17578758,-1.817801233
0.01,3.333377787,-5.160266534,-1.826888747
0.02,3.287644484,-5.137540245,-1.849895761
0.05,3.172986045,-5.100034564,-1.927048519
0.1,3.033813726,-5.058614361,-2.024800635
0.15,2.935588705,-5.023273368,-2.087684663
0.2,2.86373487,-4.991482909,-2.127748039
0.25,2.810378602,-4.96382229,-2.153443689
0.3,2.770892648,-4.940907951,-2.170015304
0.4,2.723151023,-4.910341007,-2.187189985
0.5,2.708333333,-4.900216537,-2.191883203
