Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-v Electronic Energy (Hartree),APG1roSD_sen-v Total Energy (Hartree)
0,4.511844635,-5.872095629,-1.360250993
0.005,4.477315124,-5.85499105,-1.377675926
0.01,4.444503726,-5.839538743,-1.395035017
0.02,4.383525993,-5.815629703,-1.43210371
0.05,4.230648047,-5.792074292,-1.561426246
0.1,4.045084971,-5.770866743,-1.725781772
0.15,3.914118274,-5.750545413,-1.83642714
0.2,3.81831316,-5.729286147,-1.910972987
0.25,3.747171465,-5.708574258,-1.961402793
0.3,3.694523535,-5.690001328,-1.995477793
0.4,3.630868035,-5.66341526,-2.032547225
0.5,3.611111111,-5.654189503,-2.043078392
