Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-v Electronic Energy (Hartree),APset1roGSD_sen-v Total Energy (Hartree)
0,3.383883476,-5.194547943,-1.810664467
0.005,3.357986347,-5.161516125,-1.803529779
0.01,3.333377787,-5.144700763,-1.811322976
0.02,3.287644484,-5.115592759,-1.827948275
0.05,3.172986045,-5.061732307,-1.888746262
0.1,3.033813726,-5.027307301,-1.993493575
0.15,2.935588705,-4.996830668,-2.061241963
0.2,2.86373487,-4.968114588,-2.104379718
0.25,2.810378602,-4.942387459,-2.132008858
0.3,2.770892648,-4.920689622,-2.149796974
0.4,2.723151023,-4.891325365,-2.168174343
0.5,2.708333333,-4.881514502,-2.173181168
