Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_free Electronic Energy (Hartree),APG1roSD_free Total Energy (Hartree)
0,2.707106781,-4.643594243,-1.936487462
0.005,2.686389082,-4.639374345,-1.952985263
0.01,2.666702232,-4.623513553,-1.956811321
0.02,2.630115588,-4.596689615,-1.966574027
0.05,2.53838883,-4.54569851,-2.00730968
0.1,2.427050984,-4.493341328,-2.066290344
0.15,2.348470964,-4.45137597,-2.102905005
0.2,2.290987895,-4.415918509,-2.124930614
0.25,2.248302884,-4.386570155,-2.138267271
0.3,2.216714119,-4.363161032,-2.146446914
0.4,2.178520823,-4.333028336,-2.154507513
0.5,2.166666667,-4.323299147,-2.156632481
