Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree)
0,2.707106781,-4.65885306,-1.951746279
0.005,2.686389082,-4.639374363,-1.952985281
0.01,2.666702232,-4.623513607,-1.956811374
0.02,2.630115588,-4.596689485,-1.966573897
0.05,2.53838883,-4.545698587,-2.007309757
0.1,2.427050984,-4.493341115,-2.066290131
0.15,2.348470964,-4.451376204,-2.10290524
0.2,2.290987895,-4.415918571,-2.124930676
0.25,2.248302884,-4.386570149,-2.138267266
0.3,2.216714119,-4.36316074,-2.146446621
0.4,2.178520823,-4.333028438,-2.154507616
0.5,2.166666667,-4.323299164,-2.156632498
