Alpha (Bohr),Nuclear Repulsion Energy (Hartree),HF Electronic Energy (Hartree),HF Total Energy (Hartree)
0,4.511844635,-5.757349114,-1.245504479
0.005,4.477315124,-5.754855295,-1.277540171
0.01,4.444503726,-5.752624187,-1.308120461
0.02,4.383525993,-5.748805546,-1.365279553
0.05,4.230648047,-5.740391507,-1.509743461
0.1,4.045084971,-5.72802891,-1.682943938
0.15,3.914118274,-5.712396601,-1.798278328
0.2,3.81831316,-5.693990667,-1.875677508
0.25,3.747171465,-5.675054043,-1.927882578
0.3,3.694523535,-5.657590079,-1.963066544
0.4,3.630868035,-5.632110257,-2.001242223
0.5,3.611111111,-5.623177161,-2.01206605
