Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree)
0,3.383883476,-5.193585969,-1.809702493
0.005,3.357986347,-5.175622137,-1.817635791
0.01,3.333377787,-5.159681177,-1.826303389
0.02,3.287644484,-5.133544094,-1.84589961
0.05,3.172986045,-5.092119712,-1.919133667
0.1,3.033813726,-5.052062082,-2.018248356
0.15,2.935588705,-5.017914639,-2.082325934
0.2,2.86373487,-4.986960675,-2.123225805
0.25,2.810378602,-4.959854664,-2.149476062
0.3,2.770892648,-4.937310191,-2.166417543
0.4,2.723151023,-4.907135319,-2.183984297
0.5,2.708333333,-4.897122016,-2.188788682
