Alpha (Bohr),Nuclear Repulsion Energy (Hartree),FCI Electronic Energy (Hartree),FCI Total Energy (Hartree)
0,4.511844635,-5.879845903,-1.368001268
0.005,4.477315124,-5.860214052,-1.382898928
0.01,4.444503726,-5.844799771,-1.400296045
0.02,4.383525993,-5.81848459,-1.434958598
0.05,4.230648047,-5.794453598,-1.563805551
0.1,4.045084971,-5.772766987,-1.727682016
0.15,3.914118274,-5.752357082,-1.838238808
0.2,3.81831316,-5.731104073,-1.912790914
0.25,3.747171465,-5.710433952,-1.963262486
0.3,3.694523535,-5.691913236,-1.997389701
0.4,3.630868035,-5.665425159,-2.034557124
0.5,3.611111111,-5.656240504,-2.045129393
