Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
0,3.383883476,-5.194766192,-1.810882716
0.005,3.357986347,-5.175787357,-1.81780101
0.01,3.333377787,-5.160265819,-1.826888032
0.02,3.287644484,-5.13754019,-1.849895706
0.05,3.172986045,-5.100033559,-1.927047515
0.1,3.033813726,-5.058613221,-2.024799495
0.15,2.935588705,-5.023271249,-2.087682544
0.2,2.86373487,-4.991484704,-2.127749833
0.25,2.810378602,-4.963821099,-2.153442498
0.3,2.770892648,-4.940908654,-2.170016006
0.4,2.723151023,-4.910340789,-2.187189767
0.5,2.708333333,-4.900216157,-2.191882823
