Alpha (Bohr),Nuclear Repulsion Energy (Hartree),HF Electronic Energy (Hartree),HF Total Energy (Hartree)
0,3.383883476,-5.004533591,-1.620650114
0.005,3.357986347,-5.057135623,-1.699149276
0.01,3.333377787,-5.052844411,-1.719466624
0.02,3.287644484,-5.045057104,-1.75741262
0.05,3.172986045,-5.025459921,-1.852473876
0.1,3.033813726,-4.996380907,-1.962567181
0.15,2.935588705,-4.967193826,-2.031605121
0.2,2.86373487,-4.938771422,-2.075036552
0.25,2.810378602,-4.912999347,-2.102620746
0.3,2.770892648,-4.89117035,-2.120277702
0.4,2.723151023,-4.861583556,-2.138432534
0.5,2.708333333,-4.851696448,-2.143363115
