Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-v Electronic Energy (Hartree),AP1roGSDGeneralized_sen-v Total Energy (Hartree)
1.2,3.156655464,-4.851088146,-1.694432682
1.25,3.119251771,-4.81200274,-1.692750968
1.3,3.082316825,-4.778290401,-1.695973576
1.35,3.045908677,-4.72055046,-1.674641783
1.4,3.010075631,-4.697181666,-1.687106035
1.414213562,3,-4.672266117,-1.672266116
1.45,2.974857194,-4.655640994,-1.680783799
1.5,2.940285,-4.648290168,-1.708005168
1.6,2.873171623,-4.609330857,-1.736159234
1.7,2.808862527,-4.574139285,-1.765276758
1.8,2.747408113,-4.553683434,-1.806275321
1.9,2.688801324,-4.539849389,-1.851048066
2,2.632993162,-4.574000545,-1.941007383
2.1,2.579905011,-4.546602883,-1.966697872
2.2,2.529438226,-4.477656237,-1.948218011
2.3,2.481481481,-4.452946316,-1.971464835
2.4,2.435916317,-4.430013218,-1.9940969
2.5,2.392621248,-4.440445827,-2.04782458
3,2.206045378,-4.286260408,-2.08021503
3.5,2.059625886,-4.171727032,-2.112101146
4,1.942809042,-4.069489852,-2.12668081
5,1.769800359,-3.905232578,-2.135432219
7,1.560112034,-3.696206493,-2.136094459
10,1.396059017,-3.53117244,-2.135113423
