Distance (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_free Electronic Energy (Hartree),APset1roGSD_free Total Energy (Hartree)
0.5,13.45641601,-17.14252677,-3.686110759
0.6,12.64721349,-16.4420509,-3.794837416
0.7,12.01943591,-15.82556402,-3.806128118
0.8,11.50619472,-15.38822327,-3.882028555
0.9,11.0714545,-15.04199923,-3.970544735
1,10.69417965,-14.69882014,-4.004640493
1.1,10.3612193,-14.38738712,-4.026167828
1.2,10.06383266,-14.06264307,-3.998810408
1.3,9.795881993,-13.76588741,-3.970005422
1.4,9.552844548,-13.49954851,-3.946703965
1.5,9.331248612,-13.25514818,-3.923899564
1.6,9.12833857,-13.03929071,-3.910952138
1.7,8.941868184,-12.84419987,-3.902331687
1.8,8.769967997,-12.66648068,-3.896512688
1.9,8.611056945,-12.42399707,-3.812940125
2,8.463781185,-12.3576279,-3.893846719
2.25,8.139179221,-11.94344496,-3.804265736
2.5,7.865751992,-11.66922459,-3.803472595
3,7.43234404,-11.23566151,-3.803317471
4,6.852216935,-10.74594587,-3.893728933
