Distance (Bohr),Nuclear Repulsion Energy (Hartree),FCI Electronic Energy (Hartree),FCI Total Energy (Hartree)
0.5,13.45641601,-17.19357407,-3.737158061
0.6,12.64721349,-16.51323875,-3.866025259
0.7,12.01943591,-15.89235567,-3.872919761
0.8,11.50619472,-15.47650944,-3.970314723
0.9,11.0714545,-15.12287,-4.051415504
1,10.69417965,-14.78264842,-4.088468769
1.1,10.3612193,-14.4579458,-4.096726507
1.2,10.06383266,-14.1512066,-4.087373937
1.3,9.795881993,-13.86412308,-4.068241082
1.4,9.552844548,-13.59768571,-4.044841165
1.5,9.331248612,-13.35228383,-4.021035223
1.6,9.12833857,-13.12777907,-3.999440501
1.7,8.941868184,-12.92356759,-3.981699407
1.8,8.769967997,-12.73865613,-3.968688132
1.9,8.611056945,-12.57167592,-3.960618974
2,8.463781185,-12.42064643,-3.956865241
2.25,8.139179221,-12.09582625,-3.956647031
2.5,7.865751992,-11.82409339,-3.958341401
3,7.43234404,-11.39198043,-3.95963639
4,6.852216935,-10.812082,-3.959865069
