Distance (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-v Electronic Energy (Hartree),APG1roSD_sen-v Total Energy (Hartree)
0,3.346456693,-19.10470768,-15.75825099
1,3.706740094,-19.43457109,-15.72783099
2,3.416897489,-19.06461754,-15.64772005
2.5,3.156487659,-18.73859184,-15.58210418
2.75,3.031382611,-18.60248059,-15.57109798
3,2.91824271,-18.47595301,-15.5577103
3.5,2.746694324,-18.35977726,-15.61308294
4,2.684346649,-18.35370772,-15.66936107
6,2.038636566,-17.73818813,-15.69955156
20,1.114040939,-16.81577401,-15.70173307
