Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-v Electronic Energy (Hartree),APset1roGSD_sen-v Total Energy (Hartree)
1.1428,3.618341332,-5.609965326,-1.991623993
1.145,3.614567207,-5.606718794,-1.992151587
1.15,3.606036738,-5.599349948,-1.99331321
1.2,3.524159592,-5.526407299,-2.002247707
1.3,3.376905155,-5.384668616,-2.007763462
1.4,3.247803349,-5.248574918,-2.000771569
1.6,3.030868809,-4.993743445,-1.962874636
1.8,2.854405257,-4.779727142,-1.925321884
1.9,2.777631013,-4.701812243,-1.924181231
1.95,2.741641165,-4.667849711,-1.926208546
1.98,2.720752119,-4.648777975,-1.928025856
1.99,2.713901878,-4.642622002,-1.928720124
2,2.707106781,-4.636562183,-1.929455402
2.01,2.700366105,-4.630596576,-1.930230471
2.02,2.693679139,-4.624724455,-1.931045316
2.05,2.673933608,-4.607647748,-1.93371414
2.1,2.642036125,-4.58090342,-1.938867295
2.2,2.581763703,-4.533303679,-1.951539976
2.5,2.424695048,-4.426921899,-2.002226851
3,2.221366863,-4.29707885,-2.075711987
4,1.947213595,-4.073341655,-2.126128059
5,1.771390676,-3.906751789,-2.135361113
7,1.560435414,-3.696524164,-2.136088751
10,1.396116135,-3.531227971,-2.135111836
