Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-v Electronic Energy (Hartree),APset1roGSD_sen-v Total Energy (Hartree)
0,2.221366863,-4.29707881,-2.075711947
0.1,2.219870978,-4.296026957,-2.076155979
0.2,2.215988112,-4.293291758,-2.077303646
0.25,2.21361221,-4.291615422,-2.078003212
0.3,2.211254241,-4.289949059,-2.078694819
0.35,2.209142281,-4.288454822,-2.079312541
0.4,2.207476365,-4.287274988,-2.079798624
0.45,2.20641147,-4.286520067,-2.080108597
0.5,2.206045378,-4.286260287,-2.080214909
