Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-v Electronic Energy (Hartree),APG1roSD_sen-v Total Energy (Hartree)
0,1.947213595,-4.127542586,-2.180328991
0.1,1.946789538,-4.127177224,-2.180387686
0.2,1.945682823,-4.126222673,-2.18053985
0.25,1.945001344,-4.12563438,-2.180633037
0.3,1.944321769,-4.125047639,-2.18072587
0.35,1.943710343,-4.12451934,-2.180808996
0.4,1.943226207,-4.12410082,-2.180874613
0.45,1.942915881,-4.123832423,-2.180916542
0.5,1.942809042,-4.069536581,-2.12672754
