Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_free Electronic Energy (Hartree),APset1roGSD_free Total Energy (Hartree)
0,1.560435414,-3.696524038,-2.136088624
0.1,1.560404502,-3.696493561,-2.136089059
0.2,1.560323607,-3.696414072,-2.136090465
0.25,1.560273633,-3.696364825,-2.136091192
0.3,1.560223677,-3.696315699,-2.136092022
0.35,1.560178625,-3.696271341,-2.136092716
0.4,1.560142883,-3.69623615,-2.136093268
0.45,1.560119938,-3.696213454,-2.136093516
0.5,1.560112034,-3.696205641,-2.136093607
