Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-ov Electronic Energy (Hartree),APset1roGSD_sen-ov Total Energy (Hartree)
0,3.618341332,-5.609965333,-1.991624001
0.1,3.564347113,-5.555598949,-1.991251836
0.2,3.440692861,-5.411350135,-1.970657274
0.25,3.374656611,-5.317793248,-1.943136637
0.3,3.314988366,-5.216362548,-1.901374183
0.35,3.265810548,-5.110811855,-1.845001307
0.4,3.229518888,-5.004202885,-1.774683997
0.45,3.207368421,-4.908450358,-1.701081937
0.5,3.199931218,-4.878619127,-1.678687909
