Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-v Electronic Energy (Hartree),APset1roGSD_sen-v Total Energy (Hartree)
0,3.230710144,-5.229695218,-1.998985074
0.1,3.204065557,-5.189751937,-1.98568638
0.2,3.139669012,-5.080861299,-1.941192288
0.25,3.103284152,-5.008210417,-1.904926265
0.3,3.069173913,-4.928004415,-1.858830502
0.35,3.04016172,-4.846696575,-1.806534855
0.4,3.018222598,-4.775826576,-1.757603978
0.45,3.004609024,-4.716380738,-1.711771713
0.5,3,-4.660111742,-1.660111742
