Alpha (Bohr),Nuclear Repulsion Energy (Hartree),HF Electronic Energy (Hartree),HF Total Energy (Hartree)
0,3.230710144,-5.206466111,-1.975755967
0.1,3.204065557,-5.165340843,-1.961275286
0.2,3.139669012,-5.052360628,-1.912691616
0.25,3.103284152,-4.97602382,-1.872739668
0.3,3.069173913,-4.89039094,-1.821217027
0.35,3.04016172,-4.797771371,-1.757609651
0.4,3.018222598,-4.699702041,-1.681479443
0.45,3.004609024,-4.596885673,-1.592276648
0.5,3,-4.407488876,-1.407488876
