Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
0,2.221366863,-4.352528953,-2.13116209
0.1,2.219870978,-4.351482913,-2.131611935
0.2,2.215988112,-4.348763479,-2.132775368
0.25,2.21361221,-4.3470964,-2.13348419
0.3,2.211254241,-4.345439347,-2.134185106
0.35,2.209142281,-4.34395326,-2.13481098
0.4,2.207476365,-4.342779489,-2.135303124
0.45,2.20641147,-4.342028685,-2.135617215
0.5,2.206045378,-4.286311947,-2.080266568
