Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGD Electronic Energy (Hartree),APset1roGD Total Energy (Hartree)
0,2.221366863,-4.297075717,-2.075708854
0.1,2.219870978,-4.296025085,-2.076154107
0.2,2.215988112,-4.293290931,-2.07730282
0.25,2.21361221,-4.291613958,-2.078001748
0.3,2.211254241,-4.289947301,-2.07869306
0.35,2.209142281,-4.288453558,-2.079311278
0.4,2.207476365,-4.287273222,-2.079796858
0.45,2.20641147,-4.286518044,-2.080106574
0.5,2.206045378,-4.286259382,-2.080214003
