Alpha (Bohr),Nuclear Repulsion Energy (Hartree),HF Electronic Energy (Hartree),HF Total Energy (Hartree)
0,2.221366863,-4.264740625,-2.043373763
0.1,2.219870978,-4.263779913,-2.043908936
0.2,2.215988112,-4.26128236,-2.045294248
0.25,2.21361221,-4.259751363,-2.046139153
0.3,2.211254241,-4.258229826,-2.046975586
0.35,2.209142281,-4.256865243,-2.047722963
0.4,2.207476365,-4.255787656,-2.048311292
0.45,2.20641147,-4.255098277,-2.048686806
0.5,2.206045378,-4.254861179,-2.048815801
