Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roD Electronic Energy (Hartree),APG1roD Total Energy (Hartree)
0,3.230710144,-5.229700428,-1.998990285
0.1,3.204065557,-5.189759541,-1.985693984
0.2,3.139669012,-5.080878511,-1.941209499
0.25,3.103284152,-5.008235766,-1.904951614
0.3,3.069173913,-4.9280449,-1.858870987
0.35,3.04016172,-4.843655115,-1.803493395
0.4,3.018222598,-4.758720906,-1.740498308
0.45,3.004609024,-4.678601356,-1.673992332
0.5,3,-4.621717389,-1.621717389
