Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree)
0,3.230710144,-5.251955507,-2.021245363
0.1,3.204065557,-5.212980106,-2.008914549
0.2,3.139669012,-5.107345796,-1.967676784
0.25,3.103284152,-5.037515579,-1.934231427
0.3,3.069173913,-4.9612655,-1.892091587
0.35,3.04016172,-4.882355083,-1.842193363
0.4,3.018222598,-4.804978512,-1.786755914
0.45,3.004609024,-4.737120777,-1.732511753
0.5,3,-4.690553874,-1.690553874
