Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-v Electronic Energy (Hartree),APG1roSD_sen-v Total Energy (Hartree)
0,1.560435414,-3.752520471,-2.192085057
0.1,1.560404502,-3.752490287,-2.192085785
0.2,1.560323607,-3.752411123,-2.192087517
0.25,1.560273633,-3.752362215,-2.192088582
0.3,1.560223677,-3.752313195,-2.192089518
0.35,1.560178625,-3.752269194,-2.192090569
0.4,1.560142883,-3.752234216,-2.192091333
0.45,1.560119938,-3.75221181,-2.192091872
0.5,1.560112034,-3.696254736,-2.136142703
