Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_free Electronic Energy (Hartree),APG1roSD_free Total Energy (Hartree)
0,2.707106781,-4.657062544,-1.949955763
0.1,2.699457144,-4.645503167,-1.946046023
0.2,2.680039604,-4.617120213,-1.937080609
0.25,2.668458387,-4.601223457,-1.93276507
0.3,2.657180451,-4.587187515,-1.930007063
0.35,2.647255684,-4.576678998,-1.929423314
0.4,2.639541248,-4.568514403,-1.928973155
0.45,2.634661561,-4.562553362,-1.927891801
0.5,2.632993162,-4.558802234,-1.925809072
