Alpha (Bohr),Nuclear Repulsion Energy (Hartree),HF Electronic Energy (Hartree),HF Total Energy (Hartree)
0,1.560435414,-3.673211935,-2.112776522
0.1,1.560404502,-3.673183081,-2.112778579
0.2,1.560323607,-3.673107568,-2.112783961
0.25,1.560273633,-3.673060918,-2.112787285
0.3,1.560223677,-3.673014284,-2.112790608
0.35,1.560178625,-3.672972228,-2.112793603
0.4,1.560142883,-3.672938862,-2.112795979
0.45,1.560119938,-3.672917443,-2.112797504
0.5,1.560112034,-3.672910063,-2.11279803
