Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree)
0,1.560435414,-3.733154255,-2.172718841
0.1,1.560404502,-3.726624645,-2.166220143
0.2,1.560323607,-3.733132559,-2.172808953
0.25,1.560273633,-3.733130337,-2.172856704
0.3,1.560223677,-3.733669406,-2.17344573
0.35,1.560178625,-3.726404284,-2.166225659
0.4,1.560142883,-3.733464444,-2.173321561
0.45,1.560119938,-3.726347089,-2.166227151
0.5,1.560112034,-3.733294373,-2.173182339
