Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
0,1.947213595,-4.127542542,-2.180328947
0.1,1.946789538,-4.127177185,-2.180387647
0.2,1.945682823,-4.126222528,-2.180539705
0.25,1.945001344,-4.125634407,-2.180633064
0.3,1.944321769,-4.125047622,-2.180725852
0.35,1.943710343,-4.124519257,-2.180808913
0.4,1.943226207,-4.124100813,-2.180874606
0.45,1.942915881,-4.123832429,-2.180916549
0.5,1.942809042,-4.069536496,-2.126727454
