Alpha (Bohr),Nuclear Repulsion Energy (Hartree),FCI Electronic Energy (Hartree),FCI Total Energy (Hartree)
0,1.947213595,-4.127632768,-2.180419172
0.1,1.946789538,-4.127258549,-2.180469012
0.2,1.945682823,-4.126281345,-2.180598522
0.25,1.945001344,-4.125679215,-2.180677871
0.3,1.944321769,-4.125078466,-2.180756697
0.35,1.943710343,-4.124537698,-2.180827354
0.4,1.943226207,-4.124109334,-2.180883127
0.45,1.942915881,-4.123834681,-2.1809188
0.5,1.942809042,-4.12374011,-2.180931069
