Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-v Electronic Energy (Hartree),APG1roSD_sen-v Total Energy (Hartree)
0,2.221366863,-4.352528898,-2.131162036
0.1,2.219870978,-4.351482975,-2.131611997
0.2,2.215988112,-4.348763445,-2.132775334
0.25,2.21361221,-4.347096296,-2.133484086
0.3,2.211254241,-4.345439375,-2.134185134
0.35,2.209142281,-4.343953156,-2.134810875
0.4,2.207476365,-4.342779588,-2.135303223
0.45,2.20641147,-4.342028666,-2.135617196
0.5,2.206045378,-4.286312069,-2.080266691
