Alpha (Bohr),Nuclear Repulsion Energy (Hartree),FCI Electronic Energy (Hartree),FCI Total Energy (Hartree)
0,2.707106781,-4.663482159,-1.956375378
0.1,2.699457144,-4.652260458,-1.952803314
0.2,2.680039604,-4.626730303,-1.9466907
0.25,2.668458387,-4.613557643,-1.945099257
0.3,2.657180451,-4.602063064,-1.944882613
0.35,2.647255684,-4.592882022,-1.945626338
0.4,2.639541248,-4.586256421,-1.946715173
0.45,2.634661561,-4.58226492,-1.947603358
0.5,2.632993162,-4.580932394,-1.947939232
