Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-o Electronic Energy (Hartree),AP1roGSDGeneralized_sen-o Total Energy (Hartree)
0,3.230710144,-5.2519554,-2.021245256
0.1,3.204065557,-5.212980062,-2.008914505
0.2,3.139669012,-5.107345743,-1.967676731
0.25,3.103284152,-5.037515473,-1.934231321
0.3,3.069173913,-4.95209433,-1.882920417
0.35,3.04016172,-4.882355001,-1.842193281
0.4,3.018222598,-4.804978466,-1.786755868
0.45,3.004609024,-4.737120634,-1.732511609
0.5,3,-4.676990402,-1.676990402
