Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-v Electronic Energy (Hartree),APG1roSD_sen-v Total Energy (Hartree)
0,3.618341332,-5.630762106,-2.012420774
0.1,3.564347113,-5.57762308,-2.013275967
0.2,3.440692861,-5.437326953,-1.996634092
0.25,3.374656611,-5.346979799,-1.972323188
0.3,3.314988366,-5.249764674,-1.934776308
0.35,3.265810548,-5.149667959,-1.883857411
0.4,3.229518888,-5.050172281,-1.820653393
0.45,3.207368421,-4.956429856,-1.749061435
0.5,3.199931218,-4.8959459,-1.696014682
