Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-o Electronic Energy (Hartree),APset1roGSD_sen-o Total Energy (Hartree)
0,3.230710144,-5.229695213,-1.998985069
0.1,3.204065557,-5.189751849,-1.985686292
0.2,3.139669012,-5.080861308,-1.941192296
0.25,3.103284152,-5.008210554,-1.904926403
0.3,3.069173913,-4.928004393,-1.858830479
0.35,3.04016172,-4.846696636,-1.806534916
0.4,3.018222598,-4.775826829,-1.757604231
0.45,3.004609024,-4.715608912,-1.710999887
0.5,3,-4.680320324,-1.680320324
