Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roD Electronic Energy (Hartree),APG1roD Total Energy (Hartree)
0,1.560435414,-3.696572133,-2.13613672
0.1,1.560404502,-3.696540271,-2.136135769
0.2,1.560323607,-3.696459947,-2.136136341
0.25,1.560273633,-3.69641145,-2.136137817
0.3,1.560223677,-3.696361308,-2.136137631
0.35,1.560178625,-3.696318853,-2.136140228
0.4,1.560142883,-3.696284612,-2.13614173
0.45,1.560119938,-3.696260926,-2.136140988
0.5,1.560112034,-3.696253889,-2.136141855
