Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGD Electronic Energy (Hartree),APset1roGD Total Energy (Hartree)
0,3.230710144,-5.229691046,-1.998980902
0.1,3.204065557,-5.189749097,-1.98568354
0.2,3.139669012,-5.080858049,-1.941189038
0.25,3.103284152,-5.008209024,-1.904924872
0.3,3.069173913,-4.928001325,-1.858827412
0.35,3.04016172,-4.84357745,-1.80341573
0.4,3.018222598,-4.758564295,-1.740341697
0.45,3.004609024,-4.678260327,-1.673651303
0.5,3,-4.620663302,-1.620663302
