Alpha (Bohr),Nuclear Repulsion Energy (Hartree),HF Electronic Energy (Hartree),HF Total Energy (Hartree)
0,1.947213595,-4.046282565,-2.099068969
0.1,1.946789538,-4.045942301,-2.099152764
0.2,1.945682823,-4.045053723,-2.0993709
0.25,1.945001344,-4.044506168,-2.099504825
0.3,1.944321769,-4.043959842,-2.099638072
0.35,1.943710343,-4.043468043,-2.099757699
0.4,1.943226207,-4.043078455,-2.099852248
0.45,1.942915881,-4.042828653,-2.099912772
0.5,1.942809042,-4.042742636,-2.099933595
