Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-v Electronic Energy (Hartree),APG1roSD_sen-v Total Energy (Hartree)
0,3.230710144,-5.259743724,-2.029033581
0.1,3.204065557,-5.221410614,-2.017345058
0.2,3.139669012,-5.117682411,-1.9780134
0.25,3.103284152,-5.049230151,-1.945945999
0.3,3.069173913,-4.974534705,-1.905360792
0.35,3.04016172,-4.897117917,-1.856956197
0.4,3.018222598,-4.8206121,-1.802389502
0.45,3.004609024,-4.74940182,-1.744792795
0.5,3,-4.670170053,-1.670170052
