Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree)
0,2.707106781,-4.657062543,-1.949955761
0.1,2.699457144,-4.645503163,-1.94604602
0.2,2.680039604,-4.617120219,-1.937080616
0.25,2.668458387,-4.601223467,-1.93276508
0.3,2.657180451,-4.587187509,-1.930007058
0.35,2.647255684,-4.576679049,-1.929423365
0.4,2.639541248,-4.568514468,-1.928973221
0.45,2.634661561,-4.562553415,-1.927891853
0.5,2.632993162,-4.558802214,-1.925809052
