Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_free Electronic Energy (Hartree),APG1roSD_free Total Energy (Hartree)
0,2.221366863,-4.337145647,-2.115778785
0.1,2.219870978,-4.335910122,-2.116039144
0.2,2.215988112,-4.332633958,-2.116645846
0.25,2.21361221,-4.330561103,-2.116948893
0.3,2.211254241,-4.328422157,-2.117167916
0.35,2.209142281,-4.326386508,-2.117244227
0.4,2.207476365,-4.321870962,-2.114394597
0.45,2.20641147,-4.321819494,-2.115408024
0.5,2.206045378,-4.322261194,-2.116215816
