Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roD Electronic Energy (Hartree),APG1roD Total Energy (Hartree)
0,2.221366863,-4.297127796,-2.075760933
0.1,2.219870978,-4.296076843,-2.076205865
0.2,2.215988112,-4.293341834,-2.077353722
0.25,2.21361221,-4.291665829,-2.078053619
0.3,2.211254241,-4.289998198,-2.078743957
0.35,2.209142281,-4.288504891,-2.07936261
0.4,2.207476365,-4.287322838,-2.079846473
0.45,2.20641147,-4.286569115,-2.080157645
0.5,2.206045378,-4.286308776,-2.080263398
