Alpha (Bohr),Nuclear Repulsion Energy (Hartree),pCCD Electronic Energy (Hartree),pCCD Total Energy (Hartree)
0,3.230710144,-5.229694265,-1.998984122
0.1,3.204065557,-5.189747599,-1.985682042
0.2,3.139669012,-5.080858404,-1.941189393
0.25,3.103284152,-5.008207836,-1.904923684
0.3,3.069173913,-4.928003687,-1.858829774
0.35,3.04016172,-4.843576515,-1.803414795
0.4,3.018222598,-4.758564395,-1.740341797
0.45,3.004609024,-4.678262488,-1.673653463
0.5,3,-4.620667829,-1.620667829
