Alpha (Bohr),Nuclear Repulsion Energy (Hartree),pCCD Electronic Energy (Hartree),pCCD Total Energy (Hartree)
0,3.618341332,-5.609961584,-1.991620251
0.1,3.564347113,-5.555596404,-1.991249291
0.2,3.440692861,-5.411348542,-1.970655681
0.25,3.374656611,-5.317790977,-1.943134367
0.3,3.314988366,-5.216361069,-1.901372703
0.35,3.265810548,-5.11081038,-1.844999832
0.4,3.229518888,-5.004201855,-1.774682968
0.45,3.207368421,-4.900811166,-1.693442746
0.5,3.199931218,-4.832615251,-1.632684033
