Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_free Electronic Energy (Hartree),APset1roGSD_free Total Energy (Hartree)
0,3.230710144,-5.22969528,-1.998985136
0.1,3.204065557,-5.189751884,-1.985686327
0.2,3.139669012,-5.080861337,-1.941192325
0.25,3.103284152,-5.00821043,-1.904926278
0.3,3.069173913,-4.928004391,-1.858830478
0.35,3.04016172,-4.846696633,-1.806534913
0.4,3.018222598,-4.775826866,-1.757604268
0.45,3.004609024,-4.715608935,-1.71099991
0.5,3,-4.68031952,-1.680319519
