Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-o Electronic Energy (Hartree),AP1roGSDSpin_sen-o Total Energy (Hartree)
0.5,10.82842712,-7.268803946,3.559623179
1,5.414213562,-6.264038401,-0.849824838
1.5,3.609475708,-5.337127401,-1.727651692
2,2.707106781,-4.636561973,-1.929455191
2.5,2.165685425,-4.116891263,-1.951205838
3,1.804737854,-3.733258106,-1.928520252
3.5,1.546918161,-3.453114055,-1.906195894
4,1.353553391,-3.230978621,-1.877425231
4.5,1.203158569,-3.084416823,-1.881258254
5,1.082842712,-2.965804199,-1.882961487
6,0.902368927,-2.786340571,-1.883971644
7,0.77345908,-2.625103661,-1.851644581
