Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
0.5,10.82842712,-7.274251693,3.554175432
1,5.414213562,-6.266975172,-0.85276161
1.5,3.609475708,-5.348917035,-1.739441327
2,2.707106781,-4.657658037,-1.950551255
2.5,2.165685425,-4.143958174,-1.978272749
3,1.804737854,-3.759236394,-1.95449854
3.5,1.546918161,-3.471683035,-1.924764874
4,1.353553391,-3.257549778,-1.903996387
4.5,1.203158569,-3.09597644,-1.89281787
5,1.082842712,-2.970525329,-1.887682617
6,0.902368927,-2.787046764,-1.884677837
7,0.77345908,-2.656569143,-1.883110063
