Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree)
0.5,33.81651208,-33.56630468,0.250207399
0.55,30.74228368,-31.850009,-1.107725318
0.6,28.18042675,-30.2967299,-2.116303155
0.65,26.01270158,-28.88328048,-2.870578895
0.7,24.15465147,-27.59392936,-3.439277894
0.75,22.5443414,-26.41197206,-3.867630657
0.8,21.13532006,-25.32512622,-4.189806164
0.85,19.89206587,-24.3244698,-4.432403932
0.9,18.78695112,-23.39751161,-4.610560488
0.95,17.79816422,-22.53763166,-4.739467441
1,16.90825603,-21.73798492,-4.829728894
1.05,16.10310098,-20.99264394,-4.889542965
1.1,15.37114184,-20.29646322,-4.925321379
1.15,14.70283135,-19.64494889,-4.942117533
1.2,14.09021335,-19.03417661,-4.943963266
1.25,13.52660481,-18.46071932,-4.934114509
1.3,13.00635079,-17.92157925,-4.915228458
1.35,12.5246341,-17.4141439,-4.889509807
1.4,12.07732574,-16.93618271,-4.858856966
1.45,11.66086623,-16.48577244,-4.824906207
1.5,11.27217067,-16.06135783,-4.789187162
1.55,10.90855227,-15.66233585,-4.753783576
1.6,10.56766001,-15.31457476,-4.746914752
1.65,10.24742789,-14.97341421,-4.725986321
1.7,9.946032957,-14.66738009,-4.721347134
1.75,9.661860587,-14.37934429,-4.717483708
1.8,9.393475577,-14.12129022,-4.727814644
1.85,9.139597843,-13.85533654,-4.7157387
1.9,8.899082111,-13.62544235,-4.726360238
1.95,8.670900528,-13.38569,-4.714789468
2,8.454128015,-13.17480741,-4.720679394
