Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-v Electronic Energy (Hartree),AP1roGSDGeneralized_sen-v Total Energy (Hartree)
0.5,33.81651208,-33.56282289,0.253689188
0.55,30.74228368,-31.84673754,-1.104453854
0.6,28.18042675,-30.29273144,-2.112304686
0.65,26.01270158,-28.87969069,-2.866989102
0.7,24.15465147,-27.5897722,-3.435120739
0.75,22.5443414,-26.40790168,-3.863560277
0.8,21.13532006,-25.32124167,-4.185921611
0.85,19.89206587,-24.31886718,-4.426801315
0.9,18.78695112,-23.39148706,-4.604535933
0.95,17.79816422,-22.53114602,-4.732981796
1,16.90825603,-21.73100195,-4.822745917
1.05,16.10310098,-20.98512471,-4.882023728
1.1,15.37114184,-20.28834996,-4.917208118
1.15,14.70283135,-19.63616568,-4.933334329
1.2,14.09021335,-19.02463838,-4.934425029
1.25,13.52660481,-18.45029323,-4.923688421
1.3,13.00635079,-17.91007294,-4.903722147
1.35,12.5246341,-17.40128641,-4.876652317
1.4,12.07732574,-16.9215806,-4.844254858
1.45,11.66086623,-16.46879633,-4.807930092
1.5,11.27217067,-16.04116325,-4.76899258
1.55,10.90855227,-15.63686086,-4.728308588
1.6,10.56766001,-15.25441549,-4.686755474
1.65,10.24742789,-14.89253749,-4.645109597
1.7,9.946032957,-14.54985262,-4.603819662
1.75,9.661860587,-14.22530155,-4.563440961
1.8,9.393475577,-13.91795055,-4.524474973
1.85,9.139597843,-13.61996774,-4.480369897
1.9,8.899082111,-13.34961333,-4.450531217
1.95,8.670900528,-13.08721704,-4.416316512
2,8.454128015,-12.84084568,-4.386717664
