Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGD Electronic Energy (Hartree),APset1roGD Total Energy (Hartree)
1.2,3.156655464,-4.786173749,-1.629518285
1.25,3.119251771,-4.74551919,-1.626267419
1.3,3.082316825,-4.654826684,-1.572509859
1.35,3.045908677,-4.637563465,-1.591654787
1.4,3.010075631,-4.626031533,-1.615955902
1.414213562,3,-4.620689904,-1.620689903
1.45,2.974857194,-4.603914872,-1.629057677
1.5,2.940285,-4.595035902,-1.654750902
1.6,2.873171623,-4.580106785,-1.706935162
1.7,2.808862527,-4.565980041,-1.757117514
1.8,2.747408113,-4.550900162,-1.803492049
1.9,2.688801324,-4.534259452,-1.845458129
2,2.632993162,-4.515969105,-1.882975943
2.1,2.579905011,-4.496166534,-1.916261523
2.2,2.529438226,-4.475075311,-1.945637085
2.3,2.481481481,-4.452946035,-1.971464554
2.4,2.435916317,-4.430012361,-1.994096044
2.5,2.392621248,-4.406497291,-2.013876044
3,2.206045378,-4.286257953,-2.080212575
3.5,2.059625886,-4.171724383,-2.112098497
4,1.942809042,-4.069488524,-2.126679482
5,1.769800359,-3.905230776,-2.135430417
7,1.560112034,-3.696205093,-2.136093059
10,1.396059017,-3.531169157,-2.13511014
