Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-o Electronic Energy (Hartree),APset1roGSD_sen-o Total Energy (Hartree)
1.2,3.156655464,-4.833232454,-1.676576989
1.25,3.119251771,-4.793620056,-1.674368284
1.3,3.082316825,-4.713959928,-1.631643102
1.35,3.045908677,-4.698685287,-1.65277661
1.4,3.010075631,-4.676079414,-1.666003783
1.414213562,3,-4.680318574,-1.680318573
1.45,2.974857194,-4.652538077,-1.677680883
1.5,2.940285,-4.636173369,-1.695888369
1.6,2.873171623,-4.606674152,-1.733502528
1.7,2.808862527,-4.580615107,-1.771752581
1.8,2.747408113,-4.557272749,-1.809864636
1.9,2.688801324,-4.535958089,-1.847156766
2,2.632993162,-4.516006612,-1.88301345
2.1,2.579905011,-4.496168325,-1.916263314
2.2,2.529438226,-4.475078186,-1.94563996
2.3,2.481481481,-4.452946417,-1.971464936
2.4,2.435916317,-4.43001286,-1.994096542
2.5,2.392621248,-4.406498064,-2.013876817
3,2.206045378,-4.286260282,-2.080214904
3.5,2.059625886,-4.171727057,-2.112101172
4,1.942809042,-4.069490079,-2.126681037
5,1.769800359,-3.905232767,-2.135432408
7,1.560112034,-3.696205806,-2.136093772
10,1.396059017,-3.53117249,-2.135113473
