Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-ov Electronic Energy (Hartree),AP1roGSDGeneralized_sen-ov Total Energy (Hartree)
0.5,13.45641601,-17.15419404,-3.697778037
0.6,12.64721349,-16.46203171,-3.814818223
0.7,12.01943591,-15.84916925,-3.829733347
0.8,11.50619472,-15.44246266,-3.936267942
0.9,11.0714545,-15.09033287,-4.018878369
1,10.69417965,-14.74942345,-4.055243807
1.1,10.3612193,-14.3924494,-4.031230107
1.2,10.06383266,-14.11921039,-4.055377729
1.3,9.795881993,-13.82151809,-4.025636095
1.4,9.552844548,-13.55827452,-4.005429971
1.5,9.331248612,-13.31751729,-3.986268677
1.6,9.12833857,-13.05832662,-3.929988052
1.7,8.941868184,-12.88922226,-3.947354072
1.8,8.769967997,-12.70800451,-3.93803651
1.9,8.611056945,-12.53854881,-3.927491864
2,8.463781185,-12.35242049,-3.888639302
2.25,8.139179221,-11.99378864,-3.854609422
2.5,7.865751992,-11.71901539,-3.853263395
3,7.43234404,-11.29335139,-3.861007345
4,6.852216935,-10.7745483,-3.922331361
