Distance (Angstrom),Nuclear Repulsion Energy (Hartree),Pccd Electronic Energy (Hartree),pCCD Total Energy (Hartree)
0.5,14.54481362,-17.3544022,-2.809588575
0.6,12.12067802,-15.75973433,-3.63905631
0.7,10.38915259,-14.42921084,-4.040058252
0.8,9.090508514,-13.30468933,-4.214180811
0.9,8.080452001,-12.34204406,-4.261592054
1,7.272406807,-11.5086762,-4.236269393
1.1,6.611278908,-10.78018826,-4.16890935
1.2,6.060339026,-10.13819466,-4.077855633
1.3,5.594159093,-9.568394575,-3.974235482
1.4,5.194576302,-9.059831372,-3.86525507
1.5,4.848271213,-8.603831864,-3.755560651
1.6,4.545254257,-8.193619063,-3.648364806
1.7,4.277886356,-7.823673498,-3.545787142
1.8,4.040226005,-7.489418725,-3.44919272
1.9,3.827582529,-7.187127226,-3.359544697
2,3.636203411,-6.913288219,-3.277084808
2.25,3.232180802,-6.335946029,-3.103765227
2.5,2.908962723,-5.883418104,-2.974455382
3,2.424135605,-5.247861285,-2.82372568
4,1.818101703,-4.595965327,-2.777863624
