Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-ov Electronic Energy (Hartree),APset1roGSD_sen-ov Total Energy (Hartree)
0,2.221366863,-4.297078893,-2.07571203
0.1,2.219870978,-4.296026893,-2.076155915
0.2,2.215988112,-4.293291755,-2.077303643
0.25,2.21361221,-4.291615478,-2.078003268
0.3,2.211254241,-4.28994921,-2.078694969
0.35,2.209142281,-4.288455039,-2.079312758
0.4,2.207476365,-4.287274856,-2.079798492
0.45,2.20641147,-4.286520045,-2.080108574
0.5,2.206045378,-4.28626038,-2.080215002
