Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree)
0,1.947213595,-4.110748283,-2.163534688
0.1,1.946789538,-4.110283929,-2.163494391
0.2,1.945682823,-4.109041548,-2.163358725
0.25,1.945001344,-4.108245804,-2.16324446
0.3,1.944321769,-4.107414826,-2.163093057
0.35,1.943710343,-4.099821831,-2.156111487
0.4,1.943226207,-4.104585051,-2.161358844
0.45,1.942915881,-4.105305762,-2.162389881
0.5,1.942809042,-4.099046586,-2.156237545
